
ShuntVoltage,Busvoltage,Current [mA],Loadvoltage,Power [mW],Battery Temp [C],Ambient Temp [C],1.567610502243042
3.20,74.84,3.28,748.30,2398.00,22.83,22.34,1.571624755859375
3.20,74.84,3.28,748.70,2402.00,22.83,22.34,3.578932285308838
3.21,74.84,3.28,748.40,2398.00,22.83,22.34,5.584964990615845
3.20,74.83,3.28,748.40,2402.00,22.83,22.34,7.596069097518921
3.20,74.82,3.28,748.60,2398.00,22.83,22.34,9.603144645690918
3.20,74.85,3.28,748.30,2398.00,22.83,22.34,11.610217809677124
3.20,74.86,3.28,748.50,2402.00,22.83,22.34,13.620372533798218
3.21,74.82,3.28,748.40,2402.00,22.83,22.34,15.62772250175476
3.20,74.83,3.28,748.00,2398.00,22.83,22.34,17.63512396812439
3.21,74.81,3.28,748.50,2396.00,22.83,22.34,19.644779205322266
3.20,74.80,3.28,748.20,2396.00,22.83,22.34,21.652668237686157
3.20,74.84,3.28,748.10,2398.00,22.83,22.34,23.659241914749146
3.20,74.81,3.28,747.90,2398.00,22.83,22.34,25.67071771621704
3.20,74.82,3.28,748.40,2396.00,22.83,22.34,27.677284002304077
3.20,74.81,3.28,747.90,2396.00,22.83,22.34,29.686318159103394
3.20,74.84,3.28,747.80,2396.00,22.83,22.34,31.69543981552124
3.20,74.77,3.27,747.90,2396.00,22.83,22.34,33.70256161689758
3.20,74.78,3.27,747.80,2396.00,22.83,22.34,35.7101469039917
3.20,74.78,3.27,747.70,2396.00,22.83,22.34,37.720776081085205
3.20,74.75,3.27,747.70,2396.00,22.83,22.34,39.727349042892456
3.20,74.77,3.27,748.00,2392.00,22.83,22.34,41.73524355888367
3.20,74.77,3.28,747.80,2392.00,22.83,22.34,43.74469614028931
3.20,74.77,3.28,747.60,2392.00,22.83,22.34,45.75173473358154
3.19,74.46,3.26,744.60,2372.00,22.83,22.34,47.761967182159424
3.19,74.52,3.27,745.10,2378.00,22.83,22.34,49.769700050354004
3.19,74.51,3.27,744.90,2382.00,22.83,22.34,51.777474880218506
3.19,74.50,3.27,745.30,2378.00,22.83,22.34,53.78779101371765
3.19,74.56,3.27,745.50,2382.00,22.83,22.34,55.79540801048279
3.20,74.55,3.27,745.40,2382.00,22.83,22.34,57.80159401893616
3.19,74.44,3.27,744.30,2372.00,22.83,22.34,59.811655044555664
3.20,74.61,3.27,746.30,2386.00,23.31,22.34,61.81973576545715
3.20,74.73,3.27,746.90,2388.00,23.31,22.83,63.8271267414093
3.20,74.68,3.27,746.70,2388.00,22.83,22.34,65.83758211135864
3.20,74.65,3.27,746.70,2388.00,22.83,22.34,67.84454679489136
3.20,74.67,3.27,746.60,2388.00,22.83,22.34,69.85160899162292
3.20,74.68,3.27,746.80,2388.00,22.83,22.34,71.86219191551208
3.20,74.68,3.27,746.60,2386.00,22.83,22.34,73.869065284729
3.20,74.67,3.28,746.80,2386.00,22.83,22.34,75.87711668014526
3.20,74.65,3.27,746.60,2388.00,22.83,22.34,77.88711953163147
3.20,74.67,3.27,746.70,2388.00,22.83,22.34,79.89466094970703
